feature,mean_importance
feature_4,-0.0453720560625649
feature_8,-0.02405583415130768
feature_1,-0.0047792673113708104
feature_2,0.004163119672804483
feature_3,0.00598666882101564
feature_6,0.02624753655742903
feature_9,0.029711063419159488
feature_7,0.0316374181404996
feature_5,0.07603513080732137
feature_16,0.3815149022330176
feature_11,0.5311131490455008
feature_14,0.5669083821230034
feature_12,0.7294783739334034
feature_13,0.758418730956784
feature_10,0.8483854689013477
feature_15,1.4359154760682693
