feature,shap_importance
feature_10,0.13660592242867606
feature_14,0.07906720360572969
feature_11,0.07280750636960888
feature_16,0.066632673908064
feature_13,0.06433477361572562
feature_15,0.04326046473029001
feature_12,0.027541652220953283
feature_5,0.006486271262803547
feature_6,0.0038076708237233343
feature_4,0.0032297207761836392
feature_8,0.002775494781892348
feature_7,0.0026512455656091003
feature_2,0.00209516630640387
feature_3,0.0016590815933196666
feature_1,0.0015243244980829257
feature_9,0.0008432468260208105
